date,predicted_rainfall_mm,lower_bound_mm,upper_bound_mm
2025-12-31,0.7634477765722671,0.0,3.4785458731485583
2026-01-01,0.7606324775147204,0.0,3.446424390738335
2026-01-02,0.7597558658877418,0.0,2.9956704790265225
2026-01-03,0.7611833669854455,0.0,3.4544379351281846
2026-01-04,0.7652313139974138,0.0,3.275834516143963
2026-01-05,0.772155660215205,0.0,3.261221656661878
2026-01-06,0.782142001116206,0.0,3.2662895735263113
2026-01-07,0.7952972234800121,0.0,3.1384346957770255
2026-01-08,0.8116430593595458,0.0,3.55145567616147
2026-01-09,0.8311117748935755,0.0,3.166693463704093
2026-01-10,0.8535441688526935,0.0,3.139408687094954
2026-01-11,0.8786899949172348,0.0,3.372243542634387
2026-01-12,0.9062108566368171,0.0,3.236830789043266
2026-01-13,0.9356855565921439,0.0,3.5362619707996474
2026-01-14,0.9666178133279737,0.0,3.4898802566703746
2026-01-15,0.9984461930527841,0.0,3.4328068445547073
2026-01-16,1.030556039768123,0.0,3.457025968957321
2026-01-17,1.0622931292088986,0.0,3.565953090879975
2026-01-18,1.092978720412947,0.0,3.702807328969772
2026-01-19,1.1219256354031308,0.0,3.582810427442845
2026-01-20,1.148454963638974,0.0,3.612764944526692
2026-01-21,1.1719129646138275,0.0,3.593071274439649
2026-01-22,1.191687729992036,0.0,3.6314078050484215
2026-01-23,1.2072251664281037,0.0,3.733425455825975
2026-01-24,1.2180438718219462,0.0,3.595698393676231
2026-01-25,1.223748501026766,0.0,3.6261316548859956
2026-01-26,1.224041251410386,0.0,3.4892583724049047
2026-01-27,1.2187311433452188,0.0,3.7010678396030565
2026-01-28,1.207740824530366,0.0,3.816403808858649
2026-01-29,1.1911106886539615,0.0,3.597971079547253
2026-01-30,1.16900016667167,0.0,3.6464859339658084
2026-01-31,1.1416861211257043,0.0,3.424981675134131
2026-02-01,1.1095583485409604,0.0,3.555230500836503
2026-02-02,1.0731122700161126,0.0,3.562105601134973
2026-02-03,1.0329389636665007,0.0,3.443443957352832
2026-02-04,0.9897127625823161,0.0,3.736873689456307
2026-02-05,0.9441767065470524,0.0,3.256412678893613
2026-02-06,0.8971261931618468,0.0,3.4743319215295316
2026-02-07,0.849391222668608,0.0,3.2908185484533936
2026-02-08,0.8018176693230258,0.0,3.322549621782041
2026-02-09,0.7552480395698989,0.0,3.2795696139244384
2026-02-10,0.710502192751915,0.0,3.520921964785471
2026-02-11,0.6683585031766099,0.0,3.0478206643268653
2026-02-12,0.6295359329788027,0.0,2.9416143406500272
2026-02-13,0.5946774635495937,0.0,2.7886492554567184
2026-02-14,0.5643352999207433,0.0,2.9471656985628356
2026-02-15,0.5389582182573394,0.0,3.129405588983496
2026-02-16,0.5188813726879137,0.0,3.127904021570265
2026-02-17,0.5043188155061414,0.0,3.188139406455023
2026-02-18,0.4953589159583181,0.0,2.9173709889866344
2026-02-19,0.4919627892112816,0.0,2.8052173486134504
2026-02-20,0.49396577061930785,0.0,2.9093985935280253
2026-02-21,0.5010818931061243,0.0,3.293234350428934
2026-02-22,0.5129112493902348,0.0,3.145037968033079
2026-02-23,0.5289500479174191,0.0,3.042085442254667
2026-02-24,0.5486031036402513,0.0,3.0894716815668475
2026-02-25,0.5711984439768559,0.0,3.0590938591410626
2026-02-26,0.5960036579733676,0.0,2.919069322632726
2026-02-27,0.622243574237565,0.0,2.9266853381916103
2026-02-28,0.6491188216944993,0.0,3.0621350195190993
2026-03-01,0.6758248074109712,0.0,3.159739925204242
2026-03-02,0.7015706381313259,0.0,3.254586547339464
2026-03-03,0.7255975168813217,0.0,3.284884299702013
2026-03-04,0.7471961628565754,0.0,3.2369516799010105
2026-03-05,0.7657228312863533,0.0,3.0568069720891176
2026-03-06,0.7806135492318227,0.0,3.0510860133360866
2026-03-07,0.7913962322370086,0.0,3.337439648911273
2026-03-08,0.7977004040192094,0.0,3.494630448831797
2026-03-09,0.7992643054054012,0.0,3.3334941035160783
2026-03-10,0.7959392477278809,0.0,3.370538383296889
2026-03-11,0.7876911380230194,0.0,3.1670203590943418
2026-03-12,0.7745991766898765,0.0,3.201149188540339
2026-03-13,0.7568518008001183,0.0,3.2855370805480093
2026-03-14,0.7347400160920436,0.0,3.4062047951408188
2026-03-15,0.7086483259912313,0.0,3.2355172165626582
2026-03-16,0.6790435250929431,0.0,3.188358762262582
2026-03-17,0.6464616758960365,0.0,3.2365684963373975
2026-03-18,0.6114936299212304,0.0,3.1823948331607177
2026-03-19,0.5747694866330237,0.0,3.120181710471514
2026-03-20,0.5369424050778248,0.0,2.9977124446834864
2026-03-21,0.49867219339393287,0.0,2.874028321875004
2026-03-22,0.46060910020831297,0.0,3.0632085167168324
2026-03-23,0.42337821958382593,0.0,2.9539927416202665
2026-03-24,0.38756489808340683,0.0,2.7389130697285142
2026-03-25,0.35370149945344576,0.0,2.892383832021887
2026-03-26,0.3222558404046295,0.0,2.930486025465837
2026-03-27,0.29362156125176625,0.0,2.771917997034994
2026-03-28,0.26811063921237555,0.0,2.9564489342342024
2026-03-29,0.24594819155978173,0.0,2.7742240886512035
2026-03-30,0.22726965229593885,0.0,2.567589976567054
